E/Trace   ( 1027): error opening trace file: No such file or directory (2)
W/DroidBox(  558): DroidBox: { "FileRW": { "operation": "read", "data": "4d656d546f74616c3a202020202020202020373438393634206b420a4d656d467265653a20202020202020202020343638343630206b420a427566666572733a20202020202020202020202034383830206b420a4361636865643a202020202020202020", "id": "2078552380" } }
W/dalvikvm(  486): DroidBox: { "FdAccess": { "path": "2f646174612f646174612f636f6d2e616e64726f69642e696e7075746d6574686f642e6c6174696e2f66696c65732f636f6e74616374732e656e5f55532e646963742e74656d70", "id": "399771177" } }
W/DroidBox(  486): DroidBox: { "FileRW": { "operation": "write", "data": "78efbfbd010000", "id": "399771177" } }
W/dalvikvm(  486): DroidBox: { "FdAccess": { "path": "2f646174612f646174612f636f6d2e616e64726f69642e696e7075746d6574686f642e6c6174696e2f66696c65732f636f6e74616374732e656e5f55532e646963742e74656d70", "id": "413673497" } }
W/DroidBox(  486): DroidBox: { "FileRW": { "operation": "write", "data": "00", "id": "413673497" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f313032372f636d646c696e65", "id": "636737736" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e636f6e766572746f6d616e2e70726f696e0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000031316262383662623537323163356535373261392e61706b", "id": "636737736" } }
E/WVMExtractor(   63): Failed to open libwvm.so
I/ContactDirectoryManager(  558): deleted 0 stale rows which don't have any relevant directory
I/ContactDirectoryManager(  558): Discovered 0 contact directories in 479ms
I/ContactsDatabaseHelper(  558): Switching to locale en_US
E/WVMExtractor(   63): Failed to open libwvm.so
W/BackupManagerService(  233): dataChanged but no participant pkg='com.android.providers.settings' uid=10011
E/WVMExtractor(   63): Failed to open libwvm.so
E/MetadataRetrieverClient(   63): failed to extract an album art
E/WVMExtractor(   63): Failed to open libwvm.so
I/InputDispatcher(  233): Application is not responding: AppWindowToken{b3ed5a10 token=Token{b3ee4e80 ActivityRecord{b40999c0 com.convertoman.proin/.ProinActivity}}}.  It has been 5550.3ms since event, 5004.9ms since wait started.  Reason: Waiting because no window has focus but there is a focused application that may eventually add a window when it finishes starting up.
I/WindowManager(  233): Input event dispatching timed out sending to application AppWindowToken{b3ed5a10 token=Token{b3ee4e80 ActivityRecord{b40999c0 com.convertoman.proin/.ProinActivity}}}
I/Process (  233): Sending signal. PID: 1027 SIG: 3
I/Process (  233): Sending signal. PID: 233 SIG: 3
I/ContactsDatabaseHelper(  558): Locale change completed in 1411ms
I/ContactsDatabaseHelper(  558): Switching to locale en_US
I/Process (  233): Sending signal. PID: 433 SIG: 3
I/Process (  233): Sending signal. PID: 512 SIG: 3
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f312f636d646c696e65", "id": "537980890" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "2f696e69740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "537980890" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f322f636d646c696e65", "id": "1808281467" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "2f696e69740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1808281467" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f332f636d646c696e65", "id": "1170965477" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "2f696e69740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1170965477" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f342f636d646c696e65", "id": "1072471169" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "2f696e69740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1072471169" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f352f636d646c696e65", "id": "828996668" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "2f696e69740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "828996668" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f362f636d646c696e65", "id": "1243385531" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "2f696e69740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1243385531" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f372f636d646c696e65", "id": "2078287993" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "2f696e69740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "2078287993" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f382f636d646c696e65", "id": "90447612" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "2f696e69740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "90447612" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f392f636d646c696e65", "id": "312807368" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "2f696e69740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "312807368" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f31302f636d646c696e65", "id": "1654901924" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "2f696e69740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1654901924" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f31312f636d646c696e65", "id": "1149410083" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "2f696e69740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1149410083" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f31322f636d646c696e65", "id": "1202806866" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "2f696e69740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1202806866" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f31332f636d646c696e65", "id": "1944926948" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "2f696e69740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1944926948" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f31342f636d646c696e65", "id": "1675170524" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "2f696e69740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1675170524" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f32352f636d646c696e65", "id": "2125943815" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "2f696e69740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "2125943815" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f32362f636d646c696e65", "id": "1997754926" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "2f696e69740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1997754926" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f32372f636d646c696e65", "id": "56573724" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "2f696e69740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "56573724" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f32382f636d646c696e65", "id": "539770065" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "2f696e69740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "539770065" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f32392f636d646c696e65", "id": "1257208817" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "2f696e69740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1257208817" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f33302f636d646c696e65", "id": "2101176408" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "2f696e69740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "2101176408" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f33312f636d646c696e65", "id": "1966913285" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "2f7362696e2f756576656e7464000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1966913285" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f33332f636d646c696e65", "id": "257981289" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "2f7362696e2f756576656e7464000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "257981289" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f33342f636d646c696e65", "id": "1227058910" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "2f7362696e2f756576656e7464000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1227058910" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f33382f636d646c696e65", "id": "1473379766" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "2f7362696e2f756576656e7464000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1473379766" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f34302f636d646c696e65", "id": "926673606" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "2f7362696e2f756576656e7464000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "926673606" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f34312f636d646c696e65", "id": "1972810604" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "2f7362696e2f756576656e7464000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1972810604" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f34352f636d646c696e65", "id": "1717135374" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "2f7362696e2f756576656e7464000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1717135374" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f34372f636d646c696e65", "id": "394408407" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "2f7362696e2f756576656e7464000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "394408407" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f34382f636d646c696e65", "id": "477177301" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "2f7362696e2f756576656e7464000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "477177301" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f35302f636d646c696e65", "id": "1096325194" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "2f73797374656d2f62696e2f71656d75640000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1096325194" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f35342f636d646c696e65", "id": "672826325" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "2f73797374656d2f62696e2f736572766963656d616e616765720000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "672826325" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f35352f636d646c696e65", "id": "224077838" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "2f73797374656d2f62696e2f766f6c640063656d616e616765720000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "224077838" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f35372f636d646c696e65", "id": "1735476401" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "2f73797374656d2f62696e2f6e6574640063656d616e616765720000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1735476401" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f35382f636d646c696e65", "id": "954086804" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "2f73797374656d2f62696e2f64656275676765726400616765720000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "954086804" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f35392f636d646c696e65", "id": "1037322196" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "2f73797374656d2f62696e2f72696c64006765726400616765720000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1037322196" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f36302f636d646c696e65", "id": "1582664120" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "2f73797374656d2f62696e2f73757266616365666c696e6765720000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1582664120" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f36312f636d646c696e65", "id": "311682998" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "7a79676f7465002f62696e2f6170705f70726f63657373002d587a79676f7465002f73797374656d2f62696e002d2d7a79676f7465002d2d73746172742d73797374656d2d73657276657200000000000000000000000000000000000000000000000000", "id": "311682998" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f36322f636d646c696e65", "id": "1369134635" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "2f73797374656d2f62696e2f64726d7365727665720073002d587a79676f7465002f73797374656d2f62696e002d2d7a79676f7465002d2d73746172742d73797374656d2d73657276657200000000000000000000000000000000000000000000000000", "id": "1369134635" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f36332f636d646c696e65", "id": "801001596" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "2f73797374656d2f62696e2f6d65646961736572766572002d587a79676f7465002f73797374656d2f62696e002d2d7a79676f7465002d2d73746172742d73797374656d2d73657276657200000000000000000000000000000000000000000000000000", "id": "801001596" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f36342f636d646c696e65", "id": "351581756" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "2f73797374656d2f62696e2f646275732d6461656d6f6e002d2d73797374656d002d2d6e6f666f726b00696e002d2d7a79676f7465002d2d73746172742d73797374656d2d73657276657200000000000000000000000000000000000000000000000000", "id": "351581756" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f36352f636d646c696e65", "id": "1741208698" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "2f73797374656d2f62696e2f696e7374616c6c64006f6e002d2d73797374656d002d2d6e6f666f726b00696e002d2d7a79676f7465002d2d73746172742d73797374656d2d73657276657200000000000000000000000000000000000000000000000000", "id": "1741208698" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f36362f636d646c696e65", "id": "168025247" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "2f73797374656d2f62696e2f6b657973746f7265002f646174612f6d6973632f6b657973746f72650000696e002d2d7a79676f7465002d2d73746172742d73797374656d2d73657276657200000000000000000000000000000000000000000000000000", "id": "168025247" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f36382f636d646c696e65", "id": "1177891207" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "2f73797374656d2f62696e2f73680073746f7265002f646174612f6d6973632f6b657973746f72650000696e002d2d7a79676f7465002d2d73746172742d73797374656d2d73657276657200000000000000000000000000000000000000000000000000", "id": "1177891207" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f36392f636d646c696e65", "id": "1284432981" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "2f7362696e2f61646264002f73680073746f7265002f646174612f6d6973632f6b657973746f72650000696e002d2d7a79676f7465002d2d73746172742d73797374656d2d73657276657200000000000000000000000000000000000000000000000000", "id": "1284432981" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f37302f636d646c696e65", "id": "884055046" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "2f7362696e2f61646264002f73680073746f7265002f646174612f6d6973632f6b657973746f72650000696e002d2d7a79676f7465002d2d73746172742d73797374656d2d73657276657200000000000000000000000000000000000000000000000000", "id": "884055046" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f3233332f636d646c696e65", "id": "1326631342" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "73797374656d5f736572766572000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1326631342" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f3433332f636d646c696e65", "id": "874908319" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e73797374656d75690000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "874908319" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f3438362f636d646c696e65", "id": "1965759397" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e696e7075746d6574686f642e6c6174696e0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1965759397" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f3531322f636d646c696e65", "id": "572186032" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e70686f6e650000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "572186032" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f3532322f636d646c696e65", "id": "2068548488" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e73657474696e67730000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "2068548488" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f3535382f636d646c696e65", "id": "692046611" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "616e64726f69642e70726f636573732e61636f726500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "692046611" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f3537322f636d646c696e65", "id": "212165851" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e736d7370757368000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "212165851" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f3538382f636d646c696e65", "id": "1970741086" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e70726f766973696f6e00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1970741086" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f3631362f636d646c696e65", "id": "265993381" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e63616c656e6461720000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "265993381" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f3632362f636d646c696e65", "id": "1259352387" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e6c61756e636865720000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1259352387" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f3635342f636d646c696e65", "id": "2022955731" } }
W/DroidBox(  233): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e6465736b636c6f636b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "2022955731" } }
W/dalvikvm(  233): DroidBox: { "FdAccess": { "path": "2f70726f632f3637322f636d646c696e65", "id": "1639805772" } }
