E/Trace   (  963): error opening trace file: No such file or directory (2)
I/ARMAssembler(   59): generated scanline__00000077:03010104_00008002_00000000 [ 89 ipp] (110 ins) at [0xb5dcb710:0xb5dcb8c8] in 0 ns
I/ActivityManager(  227): Start proc com.android.quicksearchbox for broadcast com.android.quicksearchbox/.CorporaUpdateReceiver: pid=986 uid=10033 gids={3003, 1028}
D/AlertService(  606): No fired or scheduled alerts
W/BackupManagerService(  227): dataChanged but no participant pkg='com.android.providers.settings' uid=10011
E/WVMExtractor(   62): Failed to open libwvm.so
E/Trace   (  986): error opening trace file: No such file or directory (2)
W/DroidBox(  986): DroidBox: { "DexClassLoader": { "path": "/system/app/QuickSearchBox.apk" } }
W/DroidBox(  963): DroidBox: { "ServiceStart": { "name": "org.jiaxxhaha.netraffic.TrafficService" } }
E/MetadataRetrieverClient(   62): failed to extract an album art
I/ActivityThread(  986): Pub com.android.quicksearchbox.google: com.android.quicksearchbox.google.GoogleSuggestionProvider
I/AccountTypeManager(  686): Loaded meta-data for 1 account types, 0 accounts in 333ms(wall) 30ms(cpu)
I/AccountTypeManager(  686): Loaded meta-data for 1 account types, 0 accounts in 56ms(wall) 0ms(cpu)
I/ActivityThread(  986): Pub com.android.quicksearchbox.shortcuts: com.android.quicksearchbox.ShortcutsProvider
I/AccountTypeManager(  686): Loaded meta-data for 1 account types, 0 accounts in 121ms(wall) 10ms(cpu)
I/AccountTypeManager(  686): Loaded meta-data for 1 account types, 0 accounts in 9ms(wall) 0ms(cpu)
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f3934332f636d646c696e65", "id": "1531341566" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e636f6d6d616e64732e6d6f6e6b657900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000656264373065376130346132636161", "id": "1531341566" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f3934352f636d646c696e65", "id": "801875476" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "6c6f676361740044726f6964426f783a570064616c76696b766d3a570041637469766974794d616e616765723a49000000000000000000000000000000000000000000000000000000000000000000000000000000656264373065376130346132636161", "id": "801875476" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f3934372f636d646c696e65", "id": "817962558" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "2f73797374656d2f62696e2f7368002d63007368202e2f7364636172642f65786563757465537472616365496e2e736800000000000000000000000000000000000000000000000000000000000000000000000000656264373065376130346132636161", "id": "817962558" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f3934392f636d646c696e65", "id": "1798296407" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "7368002e2f7364636172642f65786563757465537472616365496e2e736800786563757465537472616365496e2e736800000000000000000000000000000000000000000000000000000000000000000000000000656264373065376130346132636161", "id": "1798296407" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f3935302f636d646c696e65", "id": "431439504" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "737472616365002d70003630002d66002d747446002d6f002f7364636172642f366464363635666562643730653761303461326361613662326232343437336332313132316531383562623734303462663137383263323738383035313863362e61706b", "id": "431439504" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f3936332f636d646c696e65", "id": "1814188756" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "6f72672e6e657472616666696300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000034303462663137383263323738383035313863362e61706b", "id": "1814188756" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f3938362f636d646c696e65", "id": "361632183" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e717569636b736561726368626f78000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000034303462663137383263323738383035313863362e61706b", "id": "361632183" } }
D/UmAd SDK(  963): App ID is set to 977e82cf0751e7bf
D/UmAd SDK(  963): App Sec is set to cff3778b5f63e947
W/Settings(  963): Setting android_id has moved from android.provider.Settings.System to android.provider.Settings.Secure, returning read-only value.
I/UmAd SDK(  963): Requesting fresh ads every 30 seconds.
W/ActivityManager(  227): Permission denied: checkComponentPermission() owningUid=1000
W/BroadcastQueue(  227): Permission Denial: broadcasting Intent { act=android.appwidget.action.APPWIDGET_UPDATE_OPTIONS flg=0x10 cmp=com.android.settings/.widget.SettingsAppWidgetProvider (has extras) } from android (pid=623, uid=10019) is not exported from uid 1000 due to receiver com.android.settings/com.android.settings.widget.SettingsAppWidgetProvider
W/dalvikvm(  861): DroidBox: { "FdAccess": { "path": "2f646174612f646174612f636f6d2e616e64726f69642e67616c6c65727933642f7368617265645f70726566732f636f6d2e616e64726f69642e67616c6c65727933645f707265666572656e6365732e786d6c", "id": "55903173" } }
W/DroidBox(  861): DroidBox: { "FileRW": { "operation": "write", "data": "3c3f786d6c2076657273696f6e3d27312e302720656e636f64696e673d277574662d3827207374616e64616c6f6e653d2779657327203f3e0a3c6d61703e0a3c696e74206e616d653d227061636b616765732d76657273696f6e222076616c75653d2234", "id": "55903173" } }
W/Service (  963): setForeground: ignoring old API call on org.jiaxxhaha.netraffic.TrafficService
W/dalvikvm(  861): DroidBox: { "FdAccess": { "path": "2f646174612f646174612f636f6d2e616e64726f69642e67616c6c65727933642f7368617265645f70726566732f636f6d2e616e64726f69642e67616c6c65727933645f707265666572656e6365732e786d6c", "id": "1854196931" } }
W/DroidBox(  861): DroidBox: { "FileRW": { "operation": "write", "data": "3c3f786d6c2076657273696f6e3d27312e302720656e636f64696e673d277574662d3827207374616e64616c6f6e653d2779657327203f3e0a3c6d61703e0a3c696e74206e616d653d227061636b616765732d76657273696f6e222076616c75653d2235", "id": "1854196931" } }
I/InputDispatcher(  227): Application is not responding: AppWindowToken{b4041810 token=Token{b42f6f30 ActivityRecord{b42f6cb8 org.netraffic/org.jiaxxhaha.netraffic.TrafficActivity}}}.  It has been 5046.3ms since event, 5002.9ms since wait started.  Reason: Waiting because no window has focus but there is a focused application that may eventually add a window when it finishes starting up.
I/WindowManager(  227): Input event dispatching timed out sending to application AppWindowToken{b4041810 token=Token{b42f6f30 ActivityRecord{b42f6cb8 org.netraffic/org.jiaxxhaha.netraffic.TrafficActivity}}}
I/Process (  227): Sending signal. PID: 963 SIG: 3
W/dalvikvm(  861): DroidBox: { "FdAccess": { "path": "2f646174612f646174612f636f6d2e616e64726f69642e67616c6c65727933642f7368617265645f70726566732f636f6d2e616e64726f69642e67616c6c65727933645f707265666572656e6365732e786d6c", "id": "2141671830" } }
W/DroidBox(  861): DroidBox: { "FileRW": { "operation": "write", "data": "3c3f786d6c2076657273696f6e3d27312e302720656e636f64696e673d277574662d3827207374616e64616c6f6e653d2779657327203f3e0a3c6d61703e0a3c696e74206e616d653d227061636b616765732d76657273696f6e222076616c75653d2236", "id": "2141671830" } }
E/WVMExtractor(   62): Failed to open libwvm.so
I/Process (  227): Sending signal. PID: 227 SIG: 3
I/Process (  227): Sending signal. PID: 423 SIG: 3
I/Process (  227): Sending signal. PID: 494 SIG: 3
I/ActivityManager(  227): Start proc com.android.musicfx for broadcast com.android.musicfx/.Compatibility$Receiver: pid=1008 uid=10025 gids={3003, 3002, 1028}
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f312f636d646c696e65", "id": "643020260" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "2f696e69740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "643020260" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f322f636d646c696e65", "id": "1249774814" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "2f696e69740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1249774814" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f332f636d646c696e65", "id": "1737865344" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "2f696e69740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1737865344" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f342f636d646c696e65", "id": "2099213064" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "2f696e69740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "2099213064" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f352f636d646c696e65", "id": "1246954841" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "2f696e69740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1246954841" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f362f636d646c696e65", "id": "43669791" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "2f696e69740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "43669791" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f372f636d646c696e65", "id": "1030376353" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "2f696e69740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1030376353" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f382f636d646c696e65", "id": "837105474" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "2f696e69740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "837105474" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f392f636d646c696e65", "id": "1924046278" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "2f696e69740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1924046278" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f31302f636d646c696e65", "id": "1840568142" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "2f696e69740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1840568142" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f31312f636d646c696e65", "id": "779917344" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "2f696e69740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "779917344" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f31322f636d646c696e65", "id": "1209532736" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "2f696e69740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1209532736" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f31332f636d646c696e65", "id": "380763824" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "2f696e69740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "380763824" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f31342f636d646c696e65", "id": "1727115619" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "2f696e69740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1727115619" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f32352f636d646c696e65", "id": "1958020191" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "2f696e69740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1958020191" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f32362f636d646c696e65", "id": "1791199065" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "2f696e69740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1791199065" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f32372f636d646c696e65", "id": "1247011355" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "2f696e69740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1247011355" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f32382f636d646c696e65", "id": "1975990537" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "2f696e69740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1975990537" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f32392f636d646c696e65", "id": "658567007" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "2f696e69740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "658567007" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f33302f636d646c696e65", "id": "2139837964" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "2f696e69740000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "2139837964" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f33312f636d646c696e65", "id": "2141995440" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "2f7362696e2f756576656e7464000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "2141995440" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f33332f636d646c696e65", "id": "1208146343" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "2f7362696e2f756576656e7464000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1208146343" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f33342f636d646c696e65", "id": "1646716715" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "2f7362696e2f756576656e7464000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1646716715" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f33382f636d646c696e65", "id": "1959725283" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "2f7362696e2f756576656e7464000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1959725283" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f34302f636d646c696e65", "id": "1765768676" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "2f7362696e2f756576656e7464000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1765768676" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f34312f636d646c696e65", "id": "2112858630" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "2f7362696e2f756576656e7464000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "2112858630" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f34342f636d646c696e65", "id": "1216442512" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "2f7362696e2f756576656e7464000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1216442512" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f34362f636d646c696e65", "id": "477611135" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "2f7362696e2f756576656e7464000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "477611135" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f34372f636d646c696e65", "id": "740692227" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "2f7362696e2f756576656e7464000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "740692227" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f34382f636d646c696e65", "id": "262032459" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "2f73797374656d2f62696e2f71656d75640000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "262032459" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f35332f636d646c696e65", "id": "1062915373" } }
E/Trace   ( 1008): error opening trace file: No such file or directory (2)
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "2f73797374656d2f62696e2f736572766963656d616e616765720000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1062915373" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f35342f636d646c696e65", "id": "1240440468" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "2f73797374656d2f62696e2f766f6c640063656d616e616765720000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1240440468" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f35362f636d646c696e65", "id": "909437847" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "2f73797374656d2f62696e2f6e6574640063656d616e616765720000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "909437847" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f35372f636d646c696e65", "id": "339321348" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "2f73797374656d2f62696e2f64656275676765726400616765720000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "339321348" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f35382f636d646c696e65", "id": "531894552" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "2f73797374656d2f62696e2f72696c64006765726400616765720000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "531894552" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f35392f636d646c696e65", "id": "2064417049" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "2f73797374656d2f62696e2f73757266616365666c696e6765720000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "2064417049" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f36302f636d646c696e65", "id": "1213227265" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "7a79676f7465002f62696e2f6170705f70726f63657373002d587a79676f7465002f73797374656d2f62696e002d2d7a79676f7465002d2d73746172742d73797374656d2d73657276657200000000000000000000000000000000000000000000000000", "id": "1213227265" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f36312f636d646c696e65", "id": "810767356" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "2f73797374656d2f62696e2f64726d7365727665720073002d587a79676f7465002f73797374656d2f62696e002d2d7a79676f7465002d2d73746172742d73797374656d2d73657276657200000000000000000000000000000000000000000000000000", "id": "810767356" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f36322f636d646c696e65", "id": "1209995785" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "2f73797374656d2f62696e2f6d65646961736572766572002d587a79676f7465002f73797374656d2f62696e002d2d7a79676f7465002d2d73746172742d73797374656d2d73657276657200000000000000000000000000000000000000000000000000", "id": "1209995785" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f36332f636d646c696e65", "id": "1339561916" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "2f73797374656d2f62696e2f646275732d6461656d6f6e002d2d73797374656d002d2d6e6f666f726b00696e002d2d7a79676f7465002d2d73746172742d73797374656d2d73657276657200000000000000000000000000000000000000000000000000", "id": "1339561916" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f36342f636d646c696e65", "id": "1248636639" } }
W/DroidBox(  227): DroidBox: { "FileRW": { "operation": "read", "data": "2f73797374656d2f62696e2f696e7374616c6c64006f6e002d2d73797374656d002d2d6e6f666f726b00696e002d2d7a79676f7465002d2d73746172742d73797374656d2d73657276657200000000000000000000000000000000000000000000000000", "id": "1248636639" } }
W/dalvikvm(  227): DroidBox: { "FdAccess": { "path": "2f70726f632f36352f636d646c696e65", "id": "1863617305" } }
