I/ActivityThread(  924): Pub com.android.mms.SuggestionsProvider: com.android.mms.SuggestionsProvider
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "2f7362696e2f756576656e7464000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "902067591" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f34382f636d646c696e65", "id": "481672275" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "2f73797374656d2f62696e2f71656d75640000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "481672275" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f35312f636d646c696e65", "id": "1719542003" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "2f73797374656d2f62696e2f71656d75640000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1719542003" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f35332f636d646c696e65", "id": "1488859882" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "2f73797374656d2f62696e2f736572766963656d616e616765720000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1488859882" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f35342f636d646c696e65", "id": "2105986466" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "2f73797374656d2f62696e2f766f6c640063656d616e616765720000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "2105986466" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f35362f636d646c696e65", "id": "114811350" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "2f73797374656d2f62696e2f6e6574640063656d616e616765720000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "114811350" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f35372f636d646c696e65", "id": "1600075539" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "2f73797374656d2f62696e2f64656275676765726400616765720000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1600075539" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f35382f636d646c696e65", "id": "716572051" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "2f73797374656d2f62696e2f72696c64006765726400616765720000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "716572051" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f35392f636d646c696e65", "id": "1762397511" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "2f73797374656d2f62696e2f73757266616365666c696e6765720000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1762397511" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f36302f636d646c696e65", "id": "1246316388" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "7a79676f7465002f62696e2f6170705f70726f63657373002d587a79676f7465002f73797374656d2f62696e002d2d7a79676f7465002d2d73746172742d73797374656d2d73657276657200000000000000000000000000000000000000000000000000", "id": "1246316388" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f36312f636d646c696e65", "id": "1131021941" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "2f73797374656d2f62696e2f64726d7365727665720073002d587a79676f7465002f73797374656d2f62696e002d2d7a79676f7465002d2d73746172742d73797374656d2d73657276657200000000000000000000000000000000000000000000000000", "id": "1131021941" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f36322f636d646c696e65", "id": "1716847806" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "2f73797374656d2f62696e2f6d65646961736572766572002d587a79676f7465002f73797374656d2f62696e002d2d7a79676f7465002d2d73746172742d73797374656d2d73657276657200000000000000000000000000000000000000000000000000", "id": "1716847806" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f36332f636d646c696e65", "id": "1250260965" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "2f73797374656d2f62696e2f646275732d6461656d6f6e002d2d73797374656d002d2d6e6f666f726b00696e002d2d7a79676f7465002d2d73746172742d73797374656d2d73657276657200000000000000000000000000000000000000000000000000", "id": "1250260965" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f36342f636d646c696e65", "id": "1651533796" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "2f73797374656d2f62696e2f696e7374616c6c64006f6e002d2d73797374656d002d2d6e6f666f726b00696e002d2d7a79676f7465002d2d73746172742d73797374656d2d73657276657200000000000000000000000000000000000000000000000000", "id": "1651533796" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f36352f636d646c696e65", "id": "837808631" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "2f73797374656d2f62696e2f6b657973746f7265002f646174612f6d6973632f6b657973746f72650000696e002d2d7a79676f7465002d2d73746172742d73797374656d2d73657276657200000000000000000000000000000000000000000000000000", "id": "837808631" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f36362f636d646c696e65", "id": "1184773073" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "2f73797374656d2f62696e2f73680073746f7265002f646174612f6d6973632f6b657973746f72650000696e002d2d7a79676f7465002d2d73746172742d73797374656d2d73657276657200000000000000000000000000000000000000000000000000", "id": "1184773073" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f36372f636d646c696e65", "id": "369823382" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "2f7362696e2f61646264002f73680073746f7265002f646174612f6d6973632f6b657973746f72650000696e002d2d7a79676f7465002d2d73746172742d73797374656d2d73657276657200000000000000000000000000000000000000000000000000", "id": "369823382" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f3232382f636d646c696e65", "id": "1931689252" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "73797374656d5f736572766572000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1931689252" } }
V/PhoneStatusBar(  422): setLightsOn(true)
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f3432322f636d646c696e65", "id": "958123494" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e73797374656d75690000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "958123494" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f3437362f636d646c696e65", "id": "1765868197" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e696e7075746d6574686f642e6c6174696e0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "1765868197" } }
W/dalvikvm(  228): DroidBox: { "FdAccess": { "path": "2f70726f632f3438372f636d646c696e65", "id": "859825585" } }
W/DroidBox(  228): DroidBox: { "FileRW": { "operation": "read", "data": "636f6d2e616e64726f69642e70686f6e650000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000", "id": "859825585" } }
W/dalvikvm(  882): DroidBox: { "FdAccess": { "path": "2f646174612f646174612f636f6d2e616e64726f69642e67616c6c65727933642f7368617265645f70726566732f636f6d2e616e64726f69642e67616c6c65727933645f707265666572656e6365732e786d6c", "id": "1137949115" } }
W/DroidBox(  882): DroidBox: { "FileRW": { "operation": "write", "data": "3c3f786d6c2076657273696f6e3d27312e302720656e636f64696e673d277574662d3827207374616e64616c6f6e653d2779657327203f3e0a3c6d61703e0a3c696e74206e616d653d227061636b616765732d76657273696f6e222076616c75653d2233", "id": "1137949115" } }
